area_fips,industry_code,year,treated,avg_emplvl,post,log_emp
01000,331110,2015,1,5405.0,0,8.595079730073309
01000,331110,2016,1,4963.333333333333,0,8.509832837009945
01000,331110,2017,1,4819.444444444444,0,8.48041393991294
01000,331110,2018,1,4973.222222222222,0,8.51182324346384
01000,331110,2019,1,5033.666666666667,1,8.52390395710768
01000,331523,2015,0,397.88888888888886,0,5.986172792662213
01000,331523,2016,0,379.77777777777777,0,5.939586286339317
01000,331523,2017,0,353.88888888888886,0,5.868982990670045
01000,331523,2018,0,354.5555555555556,0,5.870865048942024
01000,331523,2019,0,354.6666666666667,1,5.87117838123348
04000,331110,2015,1,291.3333333333333,0,5.674468086987425
04000,331110,2016,1,201.7777777777778,0,5.307166981825019
04000,331110,2017,1,186.44444444444446,0,5.228133309690932
04000,331110,2018,1,187.11111111111111,0,5.231702617466053
04000,331110,2019,1,170.7777777777778,1,5.140363166202377
05000,331110,2015,1,2559.8888888888887,0,7.847719133753903
05000,331110,2016,1,2648.222222222222,0,7.881643834314532
05000,331110,2017,1,3058.555555555555,0,8.025698042832039
05000,331110,2018,1,3239.6666666666665,0,8.08322572283536
05000,331110,2019,1,3348.555555555556,1,8.116284354389284
05000,331523,2015,0,1291.7777777777776,0,7.1637746709250765
05000,331523,2016,0,1114.3333333333333,0,7.016011597751989
05000,331523,2017,0,1101.111111111111,0,7.004075049987814
05000,331523,2018,0,1066.111111111111,0,6.97177283110558
05000,331523,2019,0,1064.5555555555557,1,6.9703126723146545
06000,331110,2015,1,3195.222222222222,0,8.069411917514126
06000,331110,2016,1,3035.6666666666665,0,8.018186338899708
06000,331110,2017,1,2885.777777777778,0,7.967549736292158
06000,331110,2018,1,2671.777777777778,0,7.890499364198635
06000,331110,2019,1,2633.8888888888887,1,7.8762166979999995
06000,331523,2015,0,1067.5555555555557,0,6.973126786423601
06000,331523,2016,0,1009.111111111111,0,6.916825134321677
06000,331523,2017,0,908.3333333333334,0,6.8116114184292345
06000,331523,2018,0,980.6666666666666,0,6.888232612493273
06000,331523,2019,0,953.111111111111,1,6.859731487740606
